Results of experiments stored in: ./experiments/CartPole-v1_16

Scores: (min: 9.0, avg: 23.7, max: 65.0)

Episode: 200 (22545), exploration: 0.7508601833865886, score: 11.0
Scores: (min: 9.0, avg: 23.16, max: 60.0)

Episode: 201 (22546), exploration: 0.7487978970293122, score: 44.0
Scores: (min: 9.0, avg: 23.5, max: 60.0)

Episode: 202 (22547), exploration: 0.7474884830973544, score: 26.0
Scores: (min: 9.0, avg: 23.63, max: 60.0)

Episode: 203 (22548), exploration: 0.7459948135821571, score: 33.0
Scores: (min: 9.0, avg: 23.81, max: 60.0)

Episode: 204 (22549), exploration: 0.7441319232604865, score: 39.0
Scores: (min: 9.0, avg: 23.95, max: 60.0)

Episode: 205 (22550), exploration: 0.7435739638311498, score: 15.0
Scores: (min: 9.0, avg: 23.76, max: 60.0)

Episode: 206 (22551), exploration: 0.7428306686610847, score: 16.0
Scores: (min: 9.0, avg: 23.76, max: 60.0)

Episode: 207 (22552), exploration: 0.7419025944783736, score: 20.0
Scores: (min: 9.0, avg: 23.74, max: 60.0)

Episode: 208 (22553), exploration: 0.7406052382795654, score: 26.0
Scores: (min: 9.0, avg: 23.85, max: 60.0)

Episode: 209 (22554), exploration: 0.7396799444942848, score: 22.0
Scores: (min: 9.0, avg: 23.94, max: 60.0)

Episode: 210 (22555), exploration: 0.7385711177963847, score: 24.0
Scores: (min: 9.0, avg: 23.77, max: 60.0)

Episode: 211 (22556), exploration: 0.7374639532993529, score: 22.0
Scores: (min: 9.0, avg: 23.79, max: 60.0)

Episode: 212 (22557), exploration: 0.7354384605597956, score: 45.0
Scores: (min: 9.0, avg: 23.86, max: 60.0)

Episode: 213 (22558), exploration: 0.7328686045741489, score: 55.0
Scores: (min: 9.0, avg: 24.28, max: 60.0)
Weights of target Q-network updated

Episode: 214 (22559), exploration: 0.731221298206688, score: 35.0
Scores: (min: 9.0, avg: 24.18, max: 60.0)

Episode: 215 (22560), exploration: 0.7284840117835529, score: 61.0
Scores: (min: 9.0, avg: 24.51, max: 61.0)

Episode: 216 (22561), exploration: 0.7270283179697822, score: 32.0
Scores: (min: 9.0, avg: 24.55, max: 61.0)

Episode: 217 (22562), exploration: 0.7263015622419953, score: 15.0
Scores: (min: 9.0, avg: 24.49, max: 61.0)

Episode: 218 (22563), exploration: 0.7259384568547219, score: 10.0
Scores: (min: 9.0, avg: 24.1, max: 61.0)

